Content,Type,Book,Author,Page,Location,Date
"front of the wagon, and heaved. He grunted and grimaced,",Highlight,RWBY: After the Fall,E.C. Myers,179,您在位置 #179-179的标注,2021-04-27 07:56:17
"outfits. Most Vacuans wore simple, light-colored tunics",Highlight,RWBY: After the Fall,E.C. Myers,195,您在位置 #195-195的标注,2021-04-27 08:01:39
Looks like she might be carrying egg sacs.” Slate scampered,Highlight,RWBY: After the Fall,E.C. Myers,277,您在位置 #276-277的标注,2021-04-28 08:00:28
"desert lotus tea, and Fox ordered fried crevice worms,",Highlight,RWBY: After the Fall,E.C. Myers,378,您在位置 #378-378的标注,2021-04-29 08:12:02
"dirty black tunic; his biceps bulged from the short sleeves,",Highlight,RWBY: After the Fall,E.C. Myers,383,您在位置 #382-383的标注,2021-04-29 08:13:32
Fifty seconds was plenty of time to consider the choices that had brought each of them there. Plenty of time to regret them.,Highlight,RWBY: After the Fall,E.C. Myers,493,您在位置 #492-493的标注,2021-07-20 10:49:09
"She blushed, covering her rear. “Excuse you! It was a figure of speech!”",Highlight,RWBY: After the Fall,E.C. Myers,682,您在位置 #681-682的标注,2021-10-15 13:09:04
"“The downside of keeping to yourself is that other people are free to tell your story,”",Highlight,RWBY: After the Fall,E.C. Myers,884,您在位置 #883-884的标注,2021-10-18 13:29:38
"Hardy palm trees arching over a clear blue oasis, bright green leaves reflected in the still water. There’s grass on the shore, lush green grass, dotted with pink and white flowers.",Highlight,RWBY: After the Fall,E.C. Myers,1028,您在位置 #1026-1028的标注,2021-10-19 13:24:34
"“It doesn’t look like much, Fox, but I wish you could see it. Hardy palm trees arching over a clear blue oasis, bright green leaves reflected in the still water. There’s grass on the shore, lush green grass, dotted with pink and white flowers. Bees lazily drift over them, collecting pollen. Do you hear them buzzing? This is the center of town, where everyone gathers to talk, eat, conduct business at the market. Around us are burlap tents and lean-tos built by the traveling merchants, beyond are the huts, squat shelters made of mud brick and straw where our people dwell.”",Highlight,RWBY: After the Fall,E.C. Myers,1030,您在位置 #1026-1030的标注,2021-10-19 13:24:21
"The world is chaotic. We try to assert order on it, try to make sense of it. We organized into four kingdoms, four schools … teams of four. But what if the only way to fight the chaos is to give in to it? All your planning, all your preparation, can be undone in a moment of bad luck. Or a split second in which you make the wrong decision, or miss your mark just so.",Highlight,RWBY: After the Fall,E.C. Myers,1361,您在位置 #1358-1361的标注,2021-10-25 12:48:50
"“Thus, I believe that we need to embrace randomness as well, try to harness it and turn it to our advantage. We have to plan for the unexpected, prepare ourselves for situations we never could have anticipated or trained for. You and I are having this conversation because of a lifetime of choices and seemingly unrelated occurrences that nonetheless shaped who we are and led us here.",Highlight,RWBY: After the Fall,E.C. Myers,1363,您在位置 #1361-1363的标注,2021-10-25 12:48:58
"“The fact that two people met by chance and fell in love and had a daughter named Coco Adele is remarkable, don’t you think? I do.",Highlight,RWBY: After the Fall,E.C. Myers,1365,您在位置 #1364-1365的标注,2021-10-25 12:49:59
"Make no mistake, there is a higher power guiding our actions. Call it Fate. Call it Destiny. Call it the gods. Or maybe it’s simply the randomness of existence. Whatever it is, I have to trust that we are here for a reason, and while my methods might be unorthodox, they haven’t failed me yet.”",Highlight,RWBY: After the Fall,E.C. Myers,1367,您在位置 #1365-1367的标注,2021-10-25 12:50:10
“Number one. Stop apologizing all the time for minor stuff.”,Highlight,RWBY: After the Fall,E.C. Myers,1374,您在位置 #1373-1374的标注,2021-10-25 12:51:38
"“Number two. Don’t screw up. If you fail, you fail your team and the people you’re trying to protect. Failure is not an option.” She put her glasses back on. “Three. It never hurts to fight with a little style. Have some fun with it. Being a Huntress is the best feeling in the world.”",Highlight,RWBY: After the Fall,E.C. Myers,1377,您在位置 #1375-1377的标注,2021-10-25 12:51:46
"“Believe me, I know what you mean,” Yatsuhashi said. “But we need to remember the bad along with the good. It’s what makes us who we are. Making mistakes, carrying their lessons with us, makes us stronger. It’s the only way we can become better than we were.”",Highlight,RWBY: After the Fall,E.C. Myers,1935,您在位置 #1933-1935的标注,2021-11-12 13:04:10
"we need to remember the bad along with the good. It’s what makes us who we are. Making mistakes, carrying their lessons with us, makes us stronger. It’s the only way we can become better than we were.”",Highlight,RWBY: After the Fall,E.C. Myers,1942,您在位置 #1933-1942的标注,2021-11-12 13:03:31
“That our choices make us who we are. The good ones and the bad ones.”,Highlight,RWBY: After the Fall,E.C. Myers,1948,您在位置 #1947-1948的标注,2021-11-12 13:07:02
"“No one is perfect, not even you.”",Highlight,RWBY: After the Fall,E.C. Myers,1948,您在位置 #1948-1948的标注,2021-11-12 13:07:10
it’s okay that you aren’t. Because you’re always trying to be better. You’re always trying to do the right thing. I think our intentions matter just as much as the outcomes.”,Highlight,RWBY: After the Fall,E.C. Myers,1950,您在位置 #1949-1950的标注,2021-11-12 13:07:38
"The flap of the tent flew open and Carmine stepped out, ducking through the low entrance and rising to her full height. Gus stepped out gingerly after her.",Highlight,RWBY: After the Fall,E.C. Myers,1987,您在位置 #1986-1987的标注,2021-11-12 13:19:11
"peering around. She saw a lot of silver-and-glass skyscrapers,",Highlight,RWBY: Before the Dawn,E.C. Myers,501,Your Highlight at location 501-501,2023-07-18 07:50:14
Fortune and glory?” Fox said. The door slammed,Highlight,RWBY: Before the Dawn,E.C. Myers,886,Your Highlight at location 885-886,2024-02-12 04:41:49
them to come fight him. His youthful energy was palpable,Highlight,RWBY: Before the Dawn,E.C. Myers,1000,Your Highlight at location 999-1000,2024-05-02 08:42:07
此时面对译稿，脑中浮现的景象宛如荒野上人去楼空后徒留破落黑死馆的断垣残壁，石墙坍塌、蔓草杂生，脚下或许会不经意踩到有斑驳金漆的巨幅画框，还会看到那酒红帐幔自湿润泥土中探出一角，舒展着旧时骄傲。,Highlight,《黑死馆杀人事件》【深刻影响“经营之神”松下幸之助的奇书。詹慕如经典译本】,小栗虫太郎,8,您在第 8 页（位置 #78-81）的标注,2022-06-08 17:35:54
倘若人的心里住着恶魔，那恶魔就像要由此裂缝把其他人扯进罪恶深渊——这种难以预料的自我毁灭作用看似即将发生，让世人渐渐感受到浓厚的恐惧。,Highlight,《黑死馆杀人事件》【深刻影响“经营之神”松下幸之助的奇书。詹慕如经典译本】,小栗虫太郎,10,您在第 10 页（位置 #103-104）的标注,2022-06-08 17:36:22
尽管水面上平静安稳，水底下却已经形成倾泻至黑暗地下水流的巨大飞瀑了。,Highlight,《黑死馆杀人事件》【深刻影响“经营之神”松下幸之助的奇书。詹慕如经典译本】,小栗虫太郎,10,您在第 10 页（位置 #106-106）的标注,2022-06-08 17:36:28
如果一个人的脑中只有一种世界、一种观念，这种人一旦萌生兴趣，便会对其产生偏执倾倒，一直以相反的形态来寻求感应。假使这图中的本质反映出这种倒错心理，最后便会扭曲观察的视点。并且从形式转移到个人经验上，也就是从喜剧转为悲剧。之后就像疯子般开始追寻自然淘汰的痕迹，只留下冷血可怕的狩猎心理。,Highlight,《黑死馆杀人事件》【深刻影响“经营之神”松下幸之助的奇书。詹慕如经典译本】,小栗虫太郎,67,您在第 67 页（位置 #833-836）的标注,2022-07-04 15:21:52
人类的种子必定会在生死之境流转一次，在黑暗中遭受风吹的荒野。,Highlight,《黑死馆杀人事件》【深刻影响“经营之神”松下幸之助的奇书。詹慕如经典译本】,小栗虫太郎,275,您在第 275 页（位置 #3615-3616）的标注,2022-07-06 13:58:11
我们找不到恶魔，只因无法从我们的肖像之间发现其形貌’，,Highlight,《黑死馆杀人事件》【深刻影响“经营之神”松下幸之助的奇书。詹慕如经典译本】,小栗虫太郎,275,您在第 275 页（位置 #3616-3617）的标注,2022-07-06 13:58:16
